Wavelength,Absorbance
380,0.444
382,0.438
384,0.425
386,0.443
388,0.458
390,0.477
392,0.504
394,0.525
396,0.558
398,0.598
400,0.634
402,0.695
404,0.749
406,0.811
408,0.887
410,0.977
412,1.05
414,1.128
416,1.242
418,1.355
420,1.457
422,1.555
424,1.643
426,1.727
428,1.783
430,1.792
432,1.759
434,1.612
436,1.41
438,1.14
440,0.89
442,0.694
444,0.526
446,0.403
448,0.316
450,0.254
452,0.215
454,0.186
456,0.166
458,0.154
460,0.145
462,0.138
464,0.131
466,0.125
468,0.12
470,0.117
472,0.113
474,0.111
476,0.111
478,0.11
480,0.112
482,0.114
484,0.116
486,0.121
488,0.124
490,0.129
492,0.132
494,0.134
496,0.136
498,0.14
500,0.142
502,0.144
504,0.149
506,0.152
508,0.153
510,0.155
512,0.159
514,0.162
516,0.164
518,0.168
520,0.172
522,0.175
524,0.182
526,0.186
528,0.192
530,0.196
532,0.202
534,0.208
536,0.215
538,0.223
540,0.231
542,0.237
544,0.244
546,0.252
548,0.253
550,0.258
552,0.26
554,0.261
556,0.262
558,0.257
560,0.254
562,0.251
564,0.247
566,0.242
568,0.237
570,0.23
572,0.225
574,0.218
576,0.211
578,0.206
580,0.2
582,0.196
584,0.189
586,0.182
588,0.175
590,0.167
592,0.159
594,0.148
596,0.139
598,0.131
600,0.123
602,0.118
604,0.113
606,0.109
608,0.105
610,0.102
612,0.1
614,0.098
616,0.097
618,0.095
620,0.094
622,0.093
624,0.093
626,0.092
628,0.091
630,0.091
632,0.09
634,0.089
636,0.089
638,0.088
640,0.089
642,0.089
644,0.088
646,0.087
648,0.086
650,0.086
652,0.085
654,0.085
656,0.084
658,0.084
660,0.084
662,0.084
664,0.083
666,0.083
668,0.082
670,0.081
672,0.081
674,0.08
676,0.08
678,0.078
680,0.078
682,0.078
684,0.077
686,0.077
688,0.077
690,0.077
692,0.077
694,0.076
696,0.076
698,0.075
700,0.076
702,0.075
704,0.075
706,0.076
708,0.075
710,0.075
712,0.076
714,0.075
716,0.075
718,0.075
720,0.075
722,0.074
724,0.074
726,0.073
728,0.072
730,0.072
732,0.072
734,0.072
736,0.071
738,0.073
740,0.072
742,0.072
744,0.072
746,0.072
748,0.073
750,0.073
752,0.072
754,0.073
756,0.073
758,0.073
760,0.073
762,0.072
764,0.072
766,0.072
768,0.071
770,0.071
772,0.071
774,0.071
776,0.071
778,0.071
780,0.073
782,0.073
784,0.075
786,0.073
788,0.073
790,0.072
792,0.071
794,0.07
796,0.069
798,0.069
800,0.069
802,0.069
804,0.069
806,0.068
808,0.069
810,0.069
812,0.07
814,0.069
816,0.069
818,0.069
820,0.07
822,0.069
824,0.069
826,0.07
828,0.07
830,0.07
832,0.07
834,0.07
836,0.071
838,0.072
840,0.072
842,0.073
844,0.074
846,0.075
848,0.074
850,0.075
852,0.076
854,0.076
856,0.079
858,0.079
860,0.082
862,0.081
864,0.083
866,0.086
868,0.087
870,0.089
872,0.092
874,0.092
876,0.094
878,0.098
880,0.093
882,0.094
884,0.094
886,0.095
888,0.096
890,0.095
892,0.095
894,0.096
896,0.099
898,0.096
900,0.096
902,0.098
904,0.1
906,0.102
908,0.102
910,0.105
912,0.108
914,0.109
916,0.113
918,0.116
920,0.118
922,0.12
924,0.12
926,0.123
928,0.126
930,0.126
932,0.129
934,0.131
936,0.132
938,0.131
940,0.133
942,0.135
944,0.135
946,0.134
948,0.137
950,0.139
