Wavelength,Absorbance
380,0.464
382,0.492
384,0.517
386,0.577
388,0.601
390,0.664
392,0.729
394,0.793
396,0.862
398,0.964
400,1.051
402,1.147
404,1.264
406,1.363
408,1.457
410,1.552
412,1.587
414,1.583
416,1.559
418,1.492
420,1.38
422,1.235
424,1.09
426,0.947
428,0.825
430,0.732
432,0.643
434,0.575
436,0.525
438,0.476
440,0.433
442,0.402
444,0.374
446,0.347
448,0.325
450,0.305
452,0.291
454,0.278
456,0.266
458,0.258
460,0.249
462,0.242
464,0.234
466,0.228
468,0.221
470,0.213
472,0.206
474,0.2
476,0.196
478,0.192
480,0.19
482,0.186
484,0.184
486,0.183
488,0.181
490,0.182
492,0.181
494,0.178
496,0.177
498,0.175
500,0.173
502,0.171
504,0.169
506,0.166
508,0.165
510,0.162
512,0.163
514,0.162
516,0.163
518,0.167
520,0.172
522,0.178
524,0.189
526,0.2
528,0.213
530,0.225
532,0.235
534,0.246
536,0.255
538,0.26
540,0.262
542,0.261
544,0.254
546,0.245
548,0.232
550,0.219
552,0.206
554,0.196
556,0.189
558,0.185
560,0.184
562,0.185
564,0.19
566,0.198
568,0.214
570,0.228
572,0.245
574,0.261
576,0.264
578,0.258
580,0.237
582,0.211
584,0.183
586,0.153
588,0.131
590,0.117
592,0.106
594,0.099
596,0.093
598,0.089
600,0.086
602,0.085
604,0.083
606,0.082
608,0.081
610,0.079
612,0.079
614,0.078
616,0.077
618,0.076
620,0.077
622,0.076
624,0.076
626,0.076
628,0.075
630,0.076
632,0.076
634,0.075
636,0.075
638,0.075
640,0.075
642,0.073
644,0.074
646,0.073
648,0.072
650,0.072
652,0.072
654,0.072
656,0.071
658,0.072
660,0.071
662,0.072
664,0.071
666,0.071
668,0.07
670,0.07
672,0.07
674,0.07
676,0.07
678,0.069
680,0.07
682,0.069
684,0.07
686,0.069
688,0.07
690,0.07
692,0.07
694,0.069
696,0.069
698,0.068
700,0.069
702,0.07
704,0.069
706,0.07
708,0.069
710,0.069
712,0.07
714,0.068
716,0.069
718,0.069
720,0.069
722,0.069
724,0.069
726,0.068
728,0.067
730,0.067
732,0.067
734,0.066
736,0.067
738,0.067
740,0.066
742,0.066
744,0.067
746,0.066
748,0.066
750,0.067
752,0.065
754,0.066
756,0.066
758,0.065
760,0.066
762,0.065
764,0.066
766,0.065
768,0.065
770,0.064
772,0.065
774,0.066
776,0.066
778,0.066
780,0.067
782,0.067
784,0.068
786,0.067
788,0.068
790,0.067
792,0.067
794,0.066
796,0.065
798,0.066
800,0.065
802,0.066
804,0.067
806,0.066
808,0.067
810,0.067
812,0.067
814,0.067
816,0.067
818,0.067
820,0.068
822,0.068
824,0.068
826,0.069
828,0.068
830,0.068
832,0.068
834,0.068
836,0.068
838,0.069
840,0.068
842,0.069
844,0.069
846,0.069
848,0.069
850,0.07
852,0.07
854,0.07
856,0.071
858,0.071
860,0.072
862,0.071
864,0.073
866,0.075
868,0.076
870,0.079
872,0.08
874,0.08
876,0.082
878,0.084
880,0.081
882,0.08
884,0.079
886,0.079
888,0.079
890,0.078
892,0.077
894,0.077
896,0.078
898,0.075
900,0.076
902,0.077
904,0.078
906,0.077
908,0.078
910,0.079
912,0.081
914,0.08
916,0.081
918,0.081
920,0.081
922,0.082
924,0.081
926,0.082
928,0.081
930,0.081
932,0.081
934,0.081
936,0.083
938,0.08
940,0.08
942,0.079
944,0.08
946,0.078
948,0.078
950,0.077
